domain,name,country,city,category,estimated_monthly_sales,currency,plus,payments,discovered_at,email
highspeedgas.co.za,High Speed Gas,ZA,Johannesburg,Autos & Vehicles,291832.96,ZAR,false,PayGate;Cash on Delivery,Fri Sep 11 2026 02:00:00 GMT+0200 (South Africa Standard Time),info@highspeedgas.co.za
cctv-direct.co.za,CCTV Direct,ZA,Johannesburg,Safety & Survival,221456.75,ZAR,false,Capitec Pay;PayFast;Payflex;Bank Deposit;Mobicred;Zapper;Stitch;PayJustNow,Thu Sep 10 2026 02:00:00 GMT+0200 (South Africa Standard Time),info@cctv-direct.co.za
shimstock.co.za,Shim Stock Supplier,ZA,Edenvale,Business & Industrial,20674.37,ZAR,false,PayFast;Bank Deposit;Mobicred;Zapper;Payflex;Instant EFT,Wed Sep 09 2026 02:00:00 GMT+0200 (South Africa Standard Time),sales@shimstock.co.za
apsley.co.za,The Apsley Group,ZA,,Apparel,20248.56,,false,PayFast;Instant EFT;Bank Deposit,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),info@apsleygroup.co.za
saknives.co.za,SA Knives,ZA,Centurion,Home & Garden,12864.85,ZAR,false,PayFast,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),saknivessa@gmail.com
sohcollections.co.za,SOH Collections,ZA,Durban,Home & Garden,8516.17,ZAR,false,PayFast;PayJustNow;Peach Payments;Paystack,Fri Sep 11 2026 02:00:00 GMT+0200 (South Africa Standard Time),info@sohcollections.com
nuhr.co.za,nuhr.co.za,ZA,Centurion,Beauty & Fitness:,4348.68,ZAR,false,PayFast,Fri Sep 11 2026 02:00:00 GMT+0200 (South Africa Standard Time),info@nuhr.co.za
frqncy.co.za,FRQNCY – FRQNCY,ZA,Johannesburg,Apparel,4058.77,ZAR,false,,Sun Sep 06 2026 02:00:00 GMT+0200 (South Africa Standard Time),frqncysa@gmail.com
hrhza.co.za,Hair Royal Highnessza,ZA,Johannesburg,Beauty & Fitness,3478.94,ZAR,false,PayJustNow;PayFast;OPay,Mon Sep 07 2026 02:00:00 GMT+0200 (South Africa Standard Time),
mysausagesaloon.co.za,My Sausage Saloon,ZA,Edenvale,Gifts & Special Events,1739.47,ZAR,false,PayFast,Fri Sep 11 2026 02:00:00 GMT+0200 (South Africa Standard Time),
onpointbyt.co.za,On Point by T,ZA,Johannesburg,Apparel,869.73,ZAR,false,,Wed Sep 09 2026 02:00:00 GMT+0200 (South Africa Standard Time),
coloncare.shop,Colon Care,ZA,Durban North,Health,500,ZAR,false,Payflex;PayFast,Fri Sep 11 2026 02:00:00 GMT+0200 (South Africa Standard Time),hello@coloncare.shop
lerichenaturals.co.za,www.lerichenaturals.co.za,ZA,Cape Town,Beauty & Fitness,500,ZAR,false,PayFast,Wed Sep 09 2026 02:00:00 GMT+0200 (South Africa Standard Time),admin@lerichenaturals.co.za
sledgers.co.za,www.sledgers.co.za,ZA,Vereeniging,Apparel,500,ZAR,false,,Fri Sep 11 2026 02:00:00 GMT+0200 (South Africa Standard Time),info@sledgers.com
usedcarparts.co.za,UsedCarParts.co.za,ZA,Cape Town,Autos & Vehicles,500,ZAR,false,Peach Payments,Mon Sep 07 2026 02:00:00 GMT+0200 (South Africa Standard Time),sales@usedcarparts.co.za
1984brand.co.za,1984 Deluxe Brand,ZA,Sandton,Apparel,50,ZAR,false,PayFast;Payflex,Fri Sep 11 2026 02:00:00 GMT+0200 (South Africa Standard Time),
andibeauty.co.za,Andi Beauty,ZA,Pretoria,Beauty & Fitness,50,ZAR,false,PayFast,Tue Sep 08 2026 02:00:00 GMT+0200 (South Africa Standard Time),info@andibeauty.co.za
account.argaiters.co.za,account.argaiters.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
homeoptions.co.za,homeoptions.co.za,ZA,,Home & Garden,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
swissmin.co.za,swissmin.co.za,ZA,,Home & Garden,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
jobs.goshoppy.co.za,jobs.goshoppy.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
checkout.koreanskinlab.co.za,checkout.koreanskinlab.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
typecbattery.co.za,typecbattery.co.za,ZA,,Electronics,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),enquiries@enerc.co.za
www.royalpetshop.co.za,www.royalpetshop.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
edenfall.co.za,edenfall.co.za,ZA,,Apparel,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),edenfall.info@gmail.com
account.thecigarvault.co.za,account.thecigarvault.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
www.goldensandsperfumery.co.za,www.goldensandsperfumery.co.za,ZA,,Beauty & Fitness,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),goldensandsperfumery@gmail.com
re-awaken.co.za,re-awaken.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
thetechnest.co.za,thetechnest.co.za,ZA,,Electronics,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
www.getitdirect.co.za,www.getitdirect.co.za,ZA,,Jewellery & Accessories,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
cleandriveco.co.za,cleandriveco.co.za,ZA,,Automotive,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
account.designperfection.co.ke,account.designperfection.co.ke,KE,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
www.bleeze.co.za,www.bleeze.co.za,ZA,,Other,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
account.bleeze.co.za,account.bleeze.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
checkout.litsy.co.za,checkout.litsy.co.za,ZA,,Beauty & Fitness,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
wattnext.co.za,wattnext.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
account.bonvie.co.za,account.bonvie.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
women.goshoppy.co.za,women.goshoppy.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
www.amoraebeauty.co.za,www.amoraebeauty.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
www.anchoredhope.co.za,www.anchoredhope.co.za,ZA,,Baby & Kids,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
justsox.co.za,justsox.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
226ers.co.za,226ers.co.za,ZA,,Sports,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
www.brightskyonlineshop.co.za,www.brightskyonlineshop.co.za,ZA,,Home & Garden,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
styleupp.co.za,styleupp.co.za,ZA,,Jewellery & Accessories,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),kandhpty@gmail.com
www.emergingtotssa.co.za,www.emergingtotssa.co.za,ZA,,Baby & Kids,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
www.belleplum.co.za,www.belleplum.co.za,ZA,,Beauty & Fitness,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
alldaydrip.co.za,alldaydrip.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
www.alldaydrip.co.za,www.alldaydrip.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
veloracollective.co.za,veloracollective.co.za,ZA,,Jewellery & Accessories,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
account.getitdirect.co.za,account.getitdirect.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
www.myplonk.co.za,www.myplonk.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
aristyles.co.ke,aristyles.co.ke,KE,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
sloaneavenue.co.za,sloaneavenue.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
nucha.co.za,nucha.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
shop.auto-ecu.co.za,shop.auto-ecu.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
www.baejoragroup.co.za,www.baejoragroup.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
themorningshufflesa.co.za,themorningshufflesa.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
account.kumoco.co.za,account.kumoco.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
buyfast.co.za,buyfast.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
www.retailgear.co.za,www.retailgear.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
stylecartsa.co.za,stylecartsa.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
www.nucha.co.za,www.nucha.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
babyverse.co.za,babyverse.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
kitvault.co.za,kitvault.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
www.madisawear.co.za,www.madisawear.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
www.meilora.co.za,www.meilora.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
apssonline.co.za,apssonline.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
account.veloracollective.co.za,account.veloracollective.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
vaporheaven.co.za,vaporheaven.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
bovivet.co.za,bovivet.co.za,ZA,,,,,false,,Sat Sep 12 2026 02:00:00 GMT+0200 (South Africa Standard Time),
