domain,name,country,city,category,estimated_monthly_sales,currency,plus,payments,discovered_at,email
shop.nostalgia-eliquid.com,liquid– Nostalgia Eliquid,ZA,Cape Town,Health,500,ZAR,false,,,info@nostalgia-eliquid.com
kerrod-antiques.myshopify.com,Kerrod Antiques,ZA,Cape Town,Antiques & Collectibles,500,ZAR,false,,,
lapis-lazuli-lesotho.myshopify.com,Lapis Lazuli,ZA,,Apparel,500,ZAR,false,,,info@lapislazuli.co.ls
mimiandmunch.co.za,mimiandmunch.co.za,ZA,Johannesburg,Pets & Animals,500,ZAR,false,,,
facvredendal.co.za,FAC Vredendal,ZA,Vredendal,Health,500,ZAR,false,,,
loveyourhealth.co.za,Love Your Health,ZA,Centurion,Health,500,ZAR,false,,,
leotopodiatry.co.za,Leoto Podiatry Supplies,ZA,Cape Town,Health,500,ZAR,false,,,
shop.orchidaesthetics.co.za,Orchid Medical Aesthetics,ZA,Polokwane,Beauty & Fitness,500,ZAR,false,,,
velvethair.co.za,Velvet Hair,ZA,Mahikeng,Beauty & Fitness,500,ZAR,false,,,hello@beautifiedsa.co.za
cape-town-surfing.myshopify.com,CAPE TOWN SURFING,ZA,Jeffreys Bay,Sports,500,ZAR,false,,,info@capetownsurfing.com
evolvepromo.co.za,Evolve Promotions,ZA,Alberton,Autos & Vehicles,500,ZAR,false,,,info@allsortsimports.com
decathlonpro.co.za,decathlonpro.co.za,ZA,Sandton,Sports,500,ZAR,false,,,decaproadmin@decathlon.co.za
dreamworxafrica.com,Dreamworx Africa,ZA,Durban,Home & Garden,500,ZAR,false,,,info@dreamworxafrica.com
tromoxsa.com,Tromox,ZA,Lethabong,Autos & Vehicles,500,ZAR,false,,,info@tromoxsa.com
schermans.co.za,schermans.co.za,ZA,Cape Town,Apparel,500,ZAR,false,,,
soultraveller.co.za,www.soultraveller.co.za,ZA,Cape Town,Travel,500,ZAR,false,,,connect@soultraveller.co.za
thecreativeblockman.co.za,The Creative Blockman,ZA,Johannesburg,Arts & Entertainment,500,ZAR,false,,,
underworldconnections.co.za,Underworld Connections,ZA,Cape Town,Games,500,ZAR,false,,,info@underworldconnections.co.za
shop.dartsco.co.za,Dartsco,ZA,Benoni,Sports,500,ZAR,false,,,morgan@dartsco.co.za
endgirlhate.myshopify.com,EndGirlHate,ZA,Johannesburg,Apparel,500,ZAR,false,,,
savannahemp.co.za,Savanna Hemp,ZA,Cape Town,Business & Industrial,500,ZAR,false,,,info@savannahemp.co.za
shop.sagehealthsolutions.co.za,shop.sagehealthsolutions.co.za,ZA,Cape Town,Health,500,ZAR,false,,,
just4rebornsupplies.com,Just 4 Reborn Supplies,ZA,Randfontein,Toys & Hobbies,500,ZAR,false,,,info@just4rebornsupplies.com
schmooze.co.za,Schmooze – SchmoozeCreative,ZA,Cape Town,Arts & Entertainment,500,ZAR,false,,,info@schmooze.co.za
kula.africa,Grow organic– Kula Organics,ZA,Johannesburg,Home & Garden,500,ZAR,false,,,hello@kula.africa
petitconnoisseurs.com,Petit Connoisseurs,ZA,Johannesburg,Toys & Hobbies,500,ZAR,false,,,
tm-publishers.myshopify.com,TM Publishers,ZA,Cape Town,Books & Literature,500,ZAR,false,,,
labels.co.za,Labels.co.za,ZA,Berea,Books & Literature:,500,ZAR,false,,,hello@labels.co.za
coolworkwear.co.za,Cool Workwear,ZA,Cape Town,Apparel,500,ZAR,false,,,info@coolworkwear.co.za
capirfysa.co.za,capirfysa,ZA,,Apparel,500,ZAR,false,,,help@capirfy.com
redandworn.co.za,Red&Worn – Red&Worn,ZA,Midrand,Home & Garden,500,ZAR,false,,,info@redandworn.co.za
icejewellers.com,Ice Jewellers,ZA,Cape Town,Apparel,500,ZAR,false,,,info@icejewellers.com
flylikeagirl.co.za,Fly Like A Girl,ZA,Alberton,Games,500,ZAR,false,,,
dumeycreations.co.za,DuMey Creations,ZA,Meyerton,Home & Garden,500,ZAR,false,,,dumeycreations@hotmail.com
clay-cafe-online.myshopify.com,Clay Cafe Online,ZA,Cape Town,Home & Garden,500,ZAR,false,,,info@claycafe.co.za
deltaskin.com,deltaskin.com,ZA,Pretoria,Beauty & Fitness,500,ZAR,false,,,info@optiphi.com
coolheatb2b.co.za,Coolheat B2B– CoolheatB2B,ZA,Johannesburg,Sports,331.62,ZAR,false,,,
flawlessvapedistro.co.za,Flawless PURE+– Flawless,ZA,Sandton,Smoking & Vaping,328.52,ZAR,false,,,sales@flawlessvapedistro.co.za
dcssuspension.com,DCSSUSPENSION,ZA,Centurion,Autos & Vehicles,314.7,ZAR,false,,,info@dcssuspensions.com
jvzdigitalsourcing.com,JvZ Digital Sourcing,ZA,Pretoria,Computers,308.65,ZAR,false,,,
lunarmoods.com,Lunar Moods Jewellery,ZA,Cape Town,Apparel,306.97,ZAR,false,,,
moonshine-botanicals.com,Moonshine Botanicals,ZA,Cape Town,Food & Drink,305.68,ZAR,false,,,
kaprukasa.myshopify.com,Kapruka,ZA,,Food & Drink,305.28,ZAR,false,,,info@kapruka.co.za
tecpartners.co.za,www.tecpartners.co.za,ZA,Bloemfontein,Business & Industrial,50,ZAR,false,,,info.tecpartners@gmail.com
bicicletta-2.myshopify.com,Bicicletta,ZA,Cape Town,Sports,50,ZAR,false,,,
