domain,name,country,city,category,estimated_monthly_sales,currency,plus,payments,discovered_at,email
stevemadden.co.za,Steve Madden South Africa,ZA,Sandton,Apparel,148434000,ZAR,true,Credit Card;Mobicred;Payflex;RCS;PayJustNow,,info@stevemadden.co.za
toolcraft.co.za,BPM Toolcraft,ZA,Cape Town,Home & Garden,7386218.61,ZAR,false,PayFast;Ozow;Mobicred;Zapper,,info@toolcraft.co.za
dynacor.co.za,Dynacor Gaming,ZA,Yzerfontein,Computers:,2307847.74,ZAR,false,PayFast;Bank Deposit;Mobicred;Zapper;Payflex,,sales@dynacor.co.za
elevenpast.co.za,elevenpast,ZA,Cape Town,Home & Garden,1953706.39,ZAR,false,Capitec Pay;PayFast;Yoco;Payflex;Mobicred;Zapper;PayJustNow;Happy Pay,,info@elevenpast.co.za
bellaluna.co.za,Bella Luna,ZA,Sandton,Apparel,1936090.08,ZAR,false,Apple Pay;Google Pay;PayFast;Bank Deposit;SnapScan;Zapper;Mobicred;Payflex;Credit Card;Ozow;RCS,,online@bellaluna.co.za
leathergallery.co.za,Leather Gallery,ZA,Newlands East,Home & Garden,1822512.2,ZAR,false,PayFast;Peach Payments;Mobicred;Zapper;Payflex;Bank Deposit;PayJustNow;Happy Pay,,support@leathergallery.co.za
noola.co.za,NOOLA® Official Site,ZA,Cape Town,Home & Garden,1008261.81,ZAR,false,Capitec Pay;PayFast;Bank Deposit;Mobicred;Payflex;Instant EFT;PayJustNow;Float,,info@noola.co.za
startmycar.co.za,www.startmycar.co.za,ZA,Benoni,Autos & Vehicles,991140.55,ZAR,true,Bank Deposit;Credit Card;Stitch;Float,,info@startmycar.co.za
decofurnsa.co.za,Decofurn Furniture,ZA,Cape Town,Home & Garden,849461.14,ZAR,true,Credit Card;Mobicred;Capitec Pay;Bank Deposit;Payflex;Ozow;RCS;Float;Absa Pay;Instant EFT,,info@decofurnsa.co.za
interspares.co.za,Interspares,ZA,Johannesburg,Autos & Vehicles,725498.9,ZAR,false,SnapScan,,info@interspares.co.za
bike-addict.co.za,Bike Addict,ZA,Malmesbury,Sports,693637.99,ZAR,false,PayJustNow,,online@bike-addict.co.za
potshack.net,Plant Pots,ZA,Johannesburg,Home & Garden,619031.88,ZAR,false,PayFast;Bank Deposit,,
sealandgear.co.za,Sealand Gear,ZA,Cape Town,Apparel:,604719.85,ZAR,false,Capitec Pay,,info@sealandgear.com
forevernew.co.za,Forever New South Africa,ZA,Cape Town,Apparel,567476.13,ZAR,true,Credit Card;Mobicred;Payflex;RCS;PayJustNow,,info@forevernew.co.za
jekyllandhide.co.za,www.jekyllandhide.co.za,ZA,Cape Town,Jewellery & Accessories,514743.1,ZAR,false,Apple Pay;Google Pay;Capitec Pay;Payflex,,info@jekyllandhide.co.za
lovisajewellery.co.za,Lovisa,ZA,Midrand,Apparel,457970.82,ZAR,true,PayFast;Bank Deposit,,info@lovisa.com
shoecity.co.za,Shoe City,ZA,Cape Town,Apparel,448077.57,ZAR,true,Peach Payments,,support@shoecity.co.za
iconix.co.za,Iconix,ZA,Cape Town,Apparel,443134.58,ZAR,false,PayFast;Bank Deposit;Mobicred;Zapper;Payflex,,support@iconix.co.za
ragesa.co.za,Rage SA,ZA,Lethabong,Apparel,436363.3,ZAR,false,PayGate,,customercare@ragesa.co.za
timberland.co.za,Timberland South Africa,ZA,Johannesburg,Apparel,436145.86,ZAR,false,PayGate;Capitec Pay;Ozow;Bank Deposit;Payflex;PayJustNow;Happy Pay,,customer.service@timberlandsa.co.za
legit.co.za,LEGiT,ZA,Durban,Apparel,415190.64,ZAR,true,Payflex;PayU;PayJustNow;Happy Pay,,Legitonline@retailability.co.za
inverter-warehouse.co.za,www.inverter-warehouse.co.za,ZA,Johannesburg,Computers,399242.94,ZAR,false,Ozow;Bank Deposit,,admin@siwsa.co.za
sustainable.co.za,Sustainable.co.za,ZA,Cape Town,People & Society,395567.2,ZAR,false,Bank Deposit;Payflex;PayGate,,
playingandlearning.co.za,Playing and Learning,ZA,Johannesburg,Jobs & Education,387893.01,ZAR,false,PayFast;Yoco;Bank Deposit;Mobicred;Zapper;Payflex,,
tekkietown.co.za,Tekkie Town,ZA,Cape Town,Apparel,378335.54,ZAR,true,Peach Payments;Bank Deposit;Mobicred;Payflex;PayJustNow;Happy Pay,,hello@tekkietown.co.za
nomination.co.za,nomination.co.za,ZA,Johannesburg,Apparel,360358.9,ZAR,false,Apple Pay;Google Pay;PayFast;Bank Deposit;SnapScan;Zapper;Mobicred;Payflex;Credit Card;Ozow;RCS,,jewelleryrepairs@tregergroup.co.za
courtorder.co.za,Court Order,ZA,Cape Town,Apparel,359880.81,ZAR,true,PayGate;Capitec Pay;Credit Card;Payflex;PayJustNow;Float;Happy Pay,,info@courtorder.co.za
ardmore-design.com,Ardmore Design,ZA,Johannesburg,Home & Garden,353765.86,ZAR,false,Peach Payments;PayGate;Stitch;Pay with Apple | Google | Card;Pay with Amex | Diners,,info@ardmore-design.com
refinerystore.co.za,Refinery Stores,ZA,Cape Town,Apparel,353194.71,ZAR,true,Peach Payments;Payflex;Capitec Pay;PayJustNow;Happy Pay,,support@refinerystore.co.za
gymconcepts.com,Gym Concepts,ZA,Cape Town,Beauty & Fitness,347605.23,ZAR,false,PayFast;Payflex;Mobicred;Zapper,,info@gymconcepts.com
bridgebooks.co.za,Bridge Books,ZA,Johannesburg,Books & Literature,345393.83,ZAR,false,PayFast;Bank Deposit;Mobicred;Zapper;Payflex,,info@bridgebooks.co.za
store.nintendo.co.za,store.nintendo.co.za,ZA,Johannesburg,Games,331116.08,ZAR,false,Peach Payments;Credit Card;Mobicred;Bank Deposit;Float,,enquires@nintendo.co.za
